periodo,demanda_comercial,demanda_industrial/comercial_grande,demanda_residencial,demanda_total,demanda_comercial_deses,demanda_industrial/comercial_grande_deses,demanda_residencial_deses,demanda_total_deses
2021/11/01,76976.9,39532.4,148085.1,264594.5,75376.9,34183.5,141151.1,250711.5
2021/12/01,97656.3,34808.1,193797.2,326261.6,77756.3,31810.5,145422.2,254989.0
2022/01/01,106601.5,43463.9,232710.2,382775.6,78728.3,39518.4,159211.5,277458.1
2022/02/01,90473.8,35311.7,188850.7,314636.3,78799.1,33360.5,154040.2,266199.8
2022/03/01,80956.1,35078.8,142297.1,258332,70752.9,33481.1,126531.6,230765.6
2022/04/01,59689.6,29704.4,111558,200952,64070.5,32886.9,141756.5,238713.9
2022/05/01,54104.8,29502.7,118626.3,202233.9,64328.0,33615.7,150952.1,248895.7
2022/06/01,58203.2,29698,140441.5,228342.7,66061.9,32402.6,162935.3,261399.8
2022/07/01,60480.4,31471.6,116216.3,208168.4,65717.3,34493.5,134532.9,234743.7
2022/08/01,60413.1,32962.5,116876.4,210252,67247.2,34693.6,140215.5,242156.4
2022/09/01,52720.3,32464.1,104279.4,189463.8,63387.3,34797.3,133815.2,231999.7
2022/10/01,48302.1,34222,126008.1,208532.2,58057.8,33971.5,137281.0,229310.2
2022/11/01,56419.4,38509.6,157633.1,252562.1,57373.8,33097.7,150027.2,240498.7
2022/12/01,78676.5,34372.3,220730.6,333779.4,61391.2,31985.9,163669.6,257046.7
2023/01/01,80672.1,36349.7,241075.9,358097.7,60684.4,32241.1,162723.2,255648.7
